City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Plettenberg Bay,ZA,2023-02-02 12:07:26,-34.0527,23.3716,72.27,70,14,8.7
263,Aguimes,ES,2023-02-02 12:04:52,27.9054,-15.4461,65.66,49,0,6.91
264,Keningau,MY,2023-02-02 12:09:25,5.3378,116.1602,72.88,98,97,2.17
265,Wufeng,CN,2023-02-02 12:09:25,27.45,104.8333,42.55,62,87,2.98
266,Esil,KZ,2023-02-02 12:09:26,51.9556,66.4042,7.32,88,55,5.44
267,Teruel,ES,2023-02-02 12:09:26,40.6667,-0.6667,44.64,40,0,3.91
268,Cidreira,BR,2023-02-02 12:09:26,-30.1811,-50.2056,79.14,74,26,5.7
269,Buala,SB,2023-02-02 12:09:27,-8.145,159.5921,79.72,84,90,6.2
270,Lazaro Cardenas,MX,2023-02-02 12:09:27,17.9583,-102.2,70.74,53,0,4.41
271,Danjiangkou,CN,2023-02-02 12:09:27,32.5428,111.5086,37.65,59,79,5.5
272,Lanzhou,CN,2023-02-02 12:09:28,36.0564,103.7922,35.55,30,9,5.35
273,Barra Da Estiva,BR,2023-02-02 12:04:29,-13.6261,-41.3269,71.55,64,2,4.74
274,Vardo,NO,2023-02-02 12:10:28,70.3705,31.1107,30.18,59,20,12.66
275,Acajutla,SV,2023-02-02 12:10:29,13.5928,-89.8275,74.98,70,14,6.55
276,Khategaon,IN,2023-02-02 12:10:29,22.6,76.9167,76.46,17,66,4.85
277,Rocha,UY,2023-02-02 12:06:44,-34.4833,-54.3333,77.88,60,99,6.13
278,Ponta Do Sol,PT,2023-02-02 12:10:29,32.6667,-17.1,63.72,65,82,8.97
279,Shelburne,CA,2023-02-02 12:10:30,44.0787,-80.2041,19.6,90,80,13.51
280,Ardakan,IR,2023-02-02 12:10:30,32.31,54.0175,62.56,25,1,6.33
281,Mawlaik,MM,2023-02-02 12:10:30,23.6333,94.4167,77.11,40,9,1.16
282,Tangara,BR,2023-02-02 12:10:31,-6.1994,-35.8017,86.25,47,84,8.7
283,Sosnovo,RU,2023-02-02 12:10:31,60.5514,30.2144,32.25,93,100,3.67
284,Kahului,US,2023-02-02 12:10:32,20.8947,-156.47,74.84,89,0,3.0
285,Chicama,PE,2023-02-02 12:10:32,-7.8447,-79.1469,63.14,75,76,1.9
286,Semey,KZ,2023-02-02 12:10:32,50.4111,80.2275,8.82,85,0,6.71
287,Arraial Do Cabo,BR,2023-02-02 12:10:33,-22.9661,-42.0278,80.46,78,75,6.91
288,Broome,US,2023-02-02 12:10:33,42.2506,-75.833,17.67,79,0,5.75
289,Madridejos,ES,2023-02-02 12:10:33,39.4682,-3.532,48.7,45,0,5.53
290,Turayf,SA,2023-02-02 12:10:34,31.6725,38.6637,50.9,41,26,22.93
291,Polovinnoye,RU,2023-02-02 12:10:34,54.7914,65.9864,3.9,93,27,2.59
